species,count_15,count_05,count_95
London Planetree,86933,89327,87287
Honey Locust,64236,52060,33296
Callery Pear,58916,63372,30894
Pin Oak,52948,43772,36223
Norway Maple,34167,73990,106909
Little Leaf Linden,29692,27475,26092
Other Cherry,29272,9563,715
Japanese Zelkova,29195,14556,5645
Ginkgo,20879,16155,13480
Japanese Pagoda Tree,19333,7025,8427
Red Maple,17246,20141,17747
Green Ash,16221,20514,17478
American Linden,13530,7187,95
Silver Maple,12277,18614,22179
Sweetgum,10653,8361,6625
Northern Red Oak,8388,11031,6640
Sugar Maple,2840,4451,15125
Sycamore Maple,2727,4085,7494
