zip_code,area
10001,0.6
10002,0.9
10003,0.6
10004,0.6
10005,0.1
10006,0.1
10007,0.2
10009,0.6
10010,0.4
10011,0.7
10012,0.3
10013,0.6
10014,0.6
10016,0.5
10017,0.3
10018,0.3
10019,0.7
10021,0.4
10022,0.4
10023,0.5
10024,0.9
10025,0.8
10026,0.3
10027,0.9
10028,0.3
10029,0.8
10030,0.3
10031,0.7
10032,0.7
10033,0.6
10034,1.1
10035,1.4
10036,0.4
10037,0.3
10038,0.3
10039,0.5
10040,0.4
10044,0.2
10069,0.1
10128,0.5
10162,0
10280,0.1
10282,0.1
10301,3.7
10302,1.2
10303,3.1
10304,3.9
10305,4.3
10306,7.5
10307,2
10308,2
10309,6.7
10310,1.8
10312,7.7
10314,13.7
10451,1
10452,1
10453,0.9
10454,1
10455,0.7
10456,1
10457,1.1
10458,1
10459,0.8
10460,1.3
10461,2.4
10462,1.5
10463,1.4
10464,3.5
10465,3.4
10466,2
10467,2.3
10468,1.1
10469,2.5
10470,1.4
10471,2.6
10472,1.1
10473,2.2
10474,1.5
10475,1.7
11001,2.2
11003,4.1
11004,1
11005,0.2
11040,4.8
11101,2.6
11102,0.8
11103,0.7
11104,0.4
11105,1.6
11106,0.9
11201,1.4
11203,2.1
11204,1.6
11205,0.9
11206,1.4
11207,2.7
11208,3.4
11209,2.2
11210,1.6
11211,2.3
11212,1.5
11213,1.1
11214,2.2
11215,2.2
11216,0.9
11217,0.8
11218,1.4
11219,1.5
11220,1.8
11221,1.4
11222,1.5
11223,2.1
11224,1.5
11225,0.9
11226,1.3
11228,1.5
11229,2.2
11230,1.8
11231,1.4
11232,1.3
11233,1.3
11234,7.5
11235,2.2
11236,3.6
11237,1
11238,1.1
11239,0.6
11354,2.2
11355,1.7
11356,1.6
11357,2.8
11358,1.9
11360,1.4
11361,1.8
11362,2.5
11363,0.9
11364,2.5
11365,2.5
11366,1.1
11367,2.4
11368,2.6
11369,1.1
11370,1.4
11372,0.7
11373,1.5
11374,0.9
11375,2
11377,2.5
11378,2.6
11379,2.1
11385,3.6
11411,1.2
11412,1.6
11413,3.1
11414,2.3
11415,0.6
11416,0.7
11417,1.1
11418,1.6
11419,1.1
11420,2.1
11421,1.3
11422,2
11423,1.4
11426,1.4
11427,1.6
11428,0.8
11429,1.3
11430,7.1
11432,2.1
11433,1.6
11434,3.2
11435,1.5
11436,0.8
11691,2.8
11692,1
11693,1
11694,1.4
11697,2.2
10065,0.4
10075,0.2
11109,0.04
11249,0.7
10020,0.03
10111,0.004
